epoch,mode,loss,accuracy
1,Train,2.300631e+00,1.204200e-01
1,Test,2.286149e+00,1.254000e-01
2,Train,2.200242e+00,1.618800e-01
2,Test,2.109515e+00,2.151000e-01
3,Train,2.092200e+00,2.073000e-01
3,Test,2.008052e+00,2.631000e-01
4,Train,1.989139e+00,2.455200e-01
4,Test,1.909398e+00,2.906000e-01
5,Train,1.896467e+00,2.866600e-01
5,Test,1.798866e+00,3.233000e-01
6,Train,1.815720e+00,3.131400e-01
6,Test,1.736367e+00,3.553000e-01
7,Train,1.766176e+00,3.339200e-01
7,Test,1.687893e+00,3.717000e-01
8,Train,1.731462e+00,3.506800e-01
8,Test,1.669570e+00,3.794000e-01
9,Train,1.703577e+00,3.637000e-01
9,Test,1.633864e+00,3.961000e-01
10,Train,1.682249e+00,3.696400e-01
10,Test,1.617711e+00,3.999000e-01
11,Train,1.673500e+00,3.781200e-01
11,Test,1.622883e+00,3.914000e-01
12,Train,1.654356e+00,3.829400e-01
12,Test,1.625493e+00,3.953000e-01
13,Train,1.645116e+00,3.878800e-01
13,Test,1.579626e+00,4.102000e-01
14,Train,1.645908e+00,3.919000e-01
14,Test,1.578739e+00,4.111000e-01
15,Train,1.619502e+00,3.991400e-01
15,Test,1.560275e+00,4.119000e-01
16,Train,1.614546e+00,4.005000e-01
16,Test,1.549612e+00,4.193000e-01
17,Train,1.602683e+00,4.072800e-01
17,Test,1.548433e+00,4.241000e-01
18,Train,1.595208e+00,4.111600e-01
18,Test,1.529917e+00,4.289000e-01
19,Train,1.580940e+00,4.163400e-01
19,Test,1.521367e+00,4.338000e-01
20,Train,1.570521e+00,4.208000e-01
20,Test,1.513133e+00,4.401000e-01
21,Train,1.565100e+00,4.235000e-01
21,Test,1.507159e+00,4.451000e-01
22,Train,1.555784e+00,4.274000e-01
22,Test,1.502261e+00,4.422000e-01
23,Train,1.549802e+00,4.299200e-01
23,Test,1.491574e+00,4.486000e-01
24,Train,1.542902e+00,4.315400e-01
24,Test,1.480398e+00,4.474000e-01
25,Train,1.532518e+00,4.388200e-01
25,Test,1.481677e+00,4.525000e-01
26,Train,1.531858e+00,4.369200e-01
26,Test,1.467463e+00,4.578000e-01
27,Train,1.522540e+00,4.402000e-01
27,Test,1.481263e+00,4.549000e-01
28,Train,1.512268e+00,4.469800e-01
28,Test,1.451044e+00,4.632000e-01
29,Train,1.506796e+00,4.497200e-01
29,Test,1.452136e+00,4.646000e-01
30,Train,1.500834e+00,4.535400e-01
30,Test,1.446182e+00,4.655000e-01
