epoch,mode,loss,accuracy
1,Train,2.290519e+00,1.261800e-01
1,Test,2.233546e+00,1.581000e-01
2,Train,2.201296e+00,1.894400e-01
2,Test,2.110690e+00,2.379000e-01
3,Train,2.046077e+00,2.444200e-01
3,Test,1.932206e+00,3.094000e-01
4,Train,1.946265e+00,2.860200e-01
4,Test,1.853148e+00,3.281000e-01
5,Train,1.881854e+00,3.109000e-01
5,Test,1.792607e+00,3.452000e-01
6,Train,1.833668e+00,3.324600e-01
6,Test,1.752137e+00,3.687000e-01
7,Train,1.797645e+00,3.442600e-01
7,Test,1.717963e+00,3.744000e-01
8,Train,1.766235e+00,3.574600e-01
8,Test,1.699773e+00,3.879000e-01
9,Train,1.750725e+00,3.643200e-01
9,Test,1.667342e+00,4.021000e-01
10,Train,1.720544e+00,3.766600e-01
10,Test,1.639799e+00,4.101000e-01
11,Train,1.712213e+00,3.780800e-01
11,Test,1.633030e+00,4.115000e-01
12,Train,1.687310e+00,3.872000e-01
12,Test,1.608303e+00,4.185000e-01
13,Train,1.671138e+00,3.930200e-01
13,Test,1.595855e+00,4.178000e-01
14,Train,1.660608e+00,3.964800e-01
14,Test,1.579746e+00,4.287000e-01
15,Train,1.642390e+00,4.037800e-01
15,Test,1.567525e+00,4.285000e-01
16,Train,1.635424e+00,4.044200e-01
16,Test,1.587963e+00,4.190000e-01
17,Train,1.622814e+00,4.107800e-01
17,Test,1.544514e+00,4.316000e-01
18,Train,1.611590e+00,4.148800e-01
18,Test,1.534910e+00,4.365000e-01
19,Train,1.605254e+00,4.184600e-01
19,Test,1.530594e+00,4.353000e-01
20,Train,1.596103e+00,4.192800e-01
20,Test,1.513602e+00,4.450000e-01
21,Train,1.587034e+00,4.251200e-01
21,Test,1.519158e+00,4.426000e-01
22,Train,1.578785e+00,4.252000e-01
22,Test,1.497111e+00,4.505000e-01
23,Train,1.567959e+00,4.302000e-01
23,Test,1.506921e+00,4.481000e-01
24,Train,1.558693e+00,4.346800e-01
24,Test,1.494661e+00,4.571000e-01
25,Train,1.551577e+00,4.369000e-01
25,Test,1.474233e+00,4.617000e-01
26,Train,1.538697e+00,4.403000e-01
26,Test,1.465727e+00,4.638000e-01
27,Train,1.533759e+00,4.431000e-01
27,Test,1.461887e+00,4.656000e-01
28,Train,1.527204e+00,4.476600e-01
28,Test,1.453933e+00,4.683000e-01
29,Train,1.520473e+00,4.502200e-01
29,Test,1.445202e+00,4.753000e-01
30,Train,1.510369e+00,4.523800e-01
30,Test,1.434090e+00,4.791000e-01
31,Train,1.504343e+00,4.562400e-01
31,Test,1.424399e+00,4.804000e-01
32,Train,1.495101e+00,4.583800e-01
32,Test,1.422061e+00,4.784000e-01
33,Train,1.492608e+00,4.606200e-01
33,Test,1.418663e+00,4.811000e-01
34,Train,1.487228e+00,4.609200e-01
34,Test,1.406599e+00,4.882000e-01
35,Train,1.476404e+00,4.674400e-01
35,Test,1.414569e+00,4.865000e-01
36,Train,1.471836e+00,4.677000e-01
36,Test,1.413221e+00,4.875000e-01
