epoch,mode,loss,accuracy
1,Train,2.293620e+00,1.129800e-01
1,Test,2.222001e+00,1.917000e-01
2,Train,2.134570e+00,2.147200e-01
2,Test,2.012881e+00,2.814000e-01
3,Train,2.016710e+00,2.606800e-01
3,Test,1.907045e+00,3.159000e-01
4,Train,1.937061e+00,2.956800e-01
4,Test,1.852132e+00,3.319000e-01
5,Train,1.876132e+00,3.154600e-01
5,Test,1.776244e+00,3.573000e-01
6,Train,1.831499e+00,3.270200e-01
6,Test,1.716752e+00,3.722000e-01
7,Train,1.784844e+00,3.386000e-01
7,Test,1.691738e+00,3.764000e-01
8,Train,1.740112e+00,3.516000e-01
8,Test,1.647973e+00,3.948000e-01
9,Train,1.705414e+00,3.628600e-01
9,Test,1.592916e+00,4.065000e-01
10,Train,1.685408e+00,3.767000e-01
10,Test,1.584826e+00,4.179000e-01
11,Train,1.667309e+00,3.819600e-01
11,Test,1.557422e+00,4.278000e-01
12,Train,1.645789e+00,3.900400e-01
12,Test,1.536685e+00,4.341000e-01
13,Train,1.624355e+00,4.005600e-01
13,Test,1.517677e+00,4.439000e-01
14,Train,1.617892e+00,4.022600e-01
14,Test,1.520790e+00,4.462000e-01
15,Train,1.592427e+00,4.131600e-01
15,Test,1.514797e+00,4.442000e-01
16,Train,1.583476e+00,4.150600e-01
16,Test,1.476290e+00,4.607000e-01
17,Train,1.573821e+00,4.171000e-01
17,Test,1.462402e+00,4.693000e-01
18,Train,1.566001e+00,4.261600e-01
18,Test,1.458258e+00,4.627000e-01
19,Train,1.549940e+00,4.287800e-01
19,Test,1.432874e+00,4.738000e-01
20,Train,1.530262e+00,4.397600e-01
20,Test,1.480378e+00,4.625000e-01
21,Train,1.521651e+00,4.461800e-01
21,Test,1.412715e+00,4.785000e-01
22,Train,1.513139e+00,4.464000e-01
22,Test,1.407081e+00,4.868000e-01
23,Train,1.491514e+00,4.546000e-01
23,Test,1.394330e+00,4.940000e-01
24,Train,1.480160e+00,4.625400e-01
24,Test,1.396935e+00,4.899000e-01
25,Train,1.483546e+00,4.626000e-01
25,Test,1.374979e+00,5.034000e-01
26,Train,1.465062e+00,4.662400e-01
26,Test,1.362785e+00,5.021000e-01
27,Train,1.453225e+00,4.737800e-01
27,Test,1.348082e+00,5.081000e-01
28,Train,1.451264e+00,4.733600e-01
28,Test,1.355143e+00,5.074000e-01
29,Train,1.448115e+00,4.730600e-01
29,Test,1.334662e+00,5.078000e-01
30,Train,1.434218e+00,4.802000e-01
30,Test,1.342906e+00,5.087000e-01
31,Train,1.419803e+00,4.835200e-01
31,Test,1.357165e+00,5.018000e-01
32,Train,1.419894e+00,4.859000e-01
32,Test,1.317265e+00,5.188000e-01
33,Train,1.412449e+00,4.906200e-01
33,Test,1.309354e+00,5.190000e-01
34,Train,1.395549e+00,4.952400e-01
34,Test,1.322267e+00,5.184000e-01
35,Train,1.389862e+00,4.965600e-01
35,Test,1.272022e+00,5.331000e-01
36,Train,1.383454e+00,5.031000e-01
36,Test,1.274092e+00,5.366000e-01
37,Train,1.373763e+00,5.026400e-01
37,Test,1.268377e+00,5.366000e-01
38,Train,1.357080e+00,5.090000e-01
38,Test,1.251276e+00,5.449000e-01
39,Train,1.351508e+00,5.113000e-01
39,Test,1.255470e+00,5.444000e-01
40,Train,1.353570e+00,5.106600e-01
40,Test,1.251729e+00,5.461000e-01
41,Train,1.360993e+00,5.084400e-01
41,Test,1.229868e+00,5.568000e-01
42,Train,1.328742e+00,5.160200e-01
42,Test,1.221694e+00,5.571000e-01
43,Train,1.328525e+00,5.215800e-01
43,Test,1.219629e+00,5.605000e-01
44,Train,1.315971e+00,5.272200e-01
44,Test,1.210181e+00,5.603000e-01
45,Train,1.315168e+00,5.252000e-01
45,Test,1.214339e+00,5.670000e-01
46,Train,1.308892e+00,5.268600e-01
46,Test,1.201478e+00,5.671000e-01
47,Train,1.301459e+00,5.309000e-01
47,Test,1.190051e+00,5.711000e-01
48,Train,1.285492e+00,5.369200e-01
48,Test,1.186516e+00,5.696000e-01
49,Train,1.276765e+00,5.359600e-01
