epoch,mode,loss,accuracy
1,Train,2.302616e+00,1.006600e-01
1,Test,2.302580e+00,1.000000e-01
2,Train,2.283097e+00,1.144400e-01
2,Test,2.222642e+00,1.666000e-01
3,Train,2.178863e+00,1.711800e-01
3,Test,2.092182e+00,1.825000e-01
4,Train,2.076967e+00,1.883600e-01
4,Test,2.003178e+00,2.171000e-01
5,Train,2.003503e+00,2.035200e-01
5,Test,1.963949e+00,2.350000e-01
6,Train,1.950818e+00,2.267200e-01
6,Test,1.893085e+00,2.618000e-01
7,Train,1.913164e+00,2.440600e-01
7,Test,1.872761e+00,2.762000e-01
8,Train,1.893901e+00,2.547200e-01
8,Test,1.852523e+00,2.840000e-01
9,Train,1.860914e+00,2.728200e-01
9,Test,1.819633e+00,2.922000e-01
10,Train,1.843241e+00,2.839400e-01
10,Test,1.818418e+00,3.036000e-01
11,Train,1.828366e+00,2.918400e-01
11,Test,1.782554e+00,3.164000e-01
12,Train,1.808499e+00,3.062800e-01
12,Test,1.762333e+00,3.246000e-01
13,Train,1.786103e+00,3.135200e-01
13,Test,1.734300e+00,3.312000e-01
14,Train,1.767702e+00,3.242400e-01
14,Test,1.726053e+00,3.400000e-01
15,Train,1.746235e+00,3.314000e-01
15,Test,1.692423e+00,3.473000e-01
16,Train,1.728066e+00,3.407000e-01
16,Test,1.689028e+00,3.413000e-01
17,Train,1.713013e+00,3.464800e-01
17,Test,1.667719e+00,3.571000e-01
18,Train,1.710709e+00,3.480200e-01
18,Test,1.648982e+00,3.617000e-01
19,Train,1.689804e+00,3.561200e-01
19,Test,1.629105e+00,3.688000e-01
20,Train,1.673983e+00,3.617200e-01
20,Test,1.634656e+00,3.729000e-01
21,Train,1.663343e+00,3.662800e-01
21,Test,1.622670e+00,3.747000e-01
22,Train,1.650078e+00,3.696800e-01
22,Test,1.600086e+00,3.800000e-01
23,Train,1.647104e+00,3.711400e-01
23,Test,1.591978e+00,3.819000e-01
24,Train,1.645083e+00,3.719200e-01
24,Test,1.586783e+00,3.877000e-01
25,Train,1.627443e+00,3.775400e-01
25,Test,1.578783e+00,3.884000e-01
26,Train,1.625914e+00,3.803200e-01
26,Test,1.587570e+00,3.787000e-01
27,Train,1.614587e+00,3.812600e-01
27,Test,1.575685e+00,3.901000e-01
28,Train,1.603954e+00,3.843800e-01
28,Test,1.558775e+00,3.963000e-01
29,Train,1.603534e+00,3.871600e-01
29,Test,1.559890e+00,3.979000e-01
30,Train,1.602175e+00,3.875000e-01
30,Test,1.570561e+00,4.011000e-01
31,Train,1.589792e+00,3.937200e-01
31,Test,1.547309e+00,4.086000e-01
32,Train,1.587333e+00,3.943800e-01
32,Test,1.538950e+00,4.093000e-01
33,Train,1.579992e+00,3.986600e-01
33,Test,1.532030e+00,4.118000e-01
34,Train,1.577174e+00,3.980800e-01
34,Test,1.529613e+00,4.135000e-01
35,Train,1.572656e+00,4.008200e-01
35,Test,1.552324e+00,4.052000e-01
36,Train,1.577391e+00,4.017800e-01
36,Test,1.525802e+00,4.117000e-01
37,Train,1.561768e+00,4.051800e-01
37,Test,1.514518e+00,4.211000e-01
38,Train,1.561302e+00,4.066600e-01
38,Test,1.518210e+00,4.219000e-01
39,Train,1.552274e+00,4.110400e-01
39,Test,1.503023e+00,4.250000e-01
40,Train,1.548107e+00,4.133800e-01
40,Test,1.499265e+00,4.269000e-01
41,Train,1.543843e+00,4.151600e-01
41,Test,1.490158e+00,4.316000e-01
42,Train,1.533384e+00,4.210400e-01
42,Test,1.483863e+00,4.370000e-01
43,Train,1.527424e+00,4.229400e-01
43,Test,1.484578e+00,4.375000e-01
44,Train,1.530229e+00,4.208600e-01
44,Test,1.484133e+00,4.379000e-01
45,Train,1.523857e+00,4.256000e-01
45,Test,1.482940e+00,4.387000e-01
46,Train,1.510370e+00,4.295400e-01
46,Test,1.463347e+00,4.466000e-01
47,Train,1.507695e+00,4.324000e-01
47,Test,1.460837e+00,4.489000e-01
48,Train,1.500820e+00,4.387000e-01
48,Test,1.482090e+00,4.368000e-01
49,Train,1.499836e+00,4.378400e-01
49,Test,1.474371e+00,4.393000e-01
50,Train,1.494643e+00,4.409600e-01
50,Test,1.441222e+00,4.548000e-01
51,Train,1.487634e+00,4.441600e-01
51,Test,1.441304e+00,4.555000e-01
52,Train,1.492581e+00,4.462600e-01
52,Test,1.494158e+00,4.357000e-01
53,Train,1.493463e+00,4.445600e-01
53,Test,1.460917e+00,4.522000e-01
54,Train,1.480993e+00,4.499200e-01
54,Test,1.422692e+00,4.664000e-01
55,Train,1.474618e+00,4.530200e-01
55,Test,1.429422e+00,4.625000e-01
56,Train,1.468244e+00,4.543000e-01
56,Test,1.422720e+00,4.658000e-01
57,Train,1.458601e+00,4.591000e-01
57,Test,1.420152e+00,4.701000e-01
58,Train,1.454103e+00,4.610400e-01
58,Test,1.421124e+00,4.700000e-01
