0.411, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 1, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.437, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.231, {'P0P_ksize': 3, 'L2_unit': 1000, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.423, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 32, 'P1C_filter': 3}
0.326, {'P0P_ksize': 3, 'L2_unit': 1000, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 32, 'P1C_filter': 3}
0.432, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 32, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.341, {'P0P_ksize': 3, 'L2_unit': 1000, 'P2P_ksize': 2, 'P0C_feature': 32, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.294, {'P0P_ksize': 3, 'L2_unit': 1000, 'P2P_ksize': 2, 'P0C_feature': 16, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.340, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 3, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.425, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 32, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
