epoch,mode,loss,accuracy
1,Train,2.281224e+00,1.390600e-01
1,Test,2.196511e+00,1.876000e-01
2,Train,2.121036e+00,2.285200e-01
2,Test,1.956898e+00,3.266000e-01
3,Train,1.922945e+00,3.086000e-01
3,Test,1.795017e+00,3.696000e-01
4,Train,1.826754e+00,3.417800e-01
4,Test,1.722121e+00,3.905000e-01
5,Train,1.780277e+00,3.574600e-01
5,Test,1.690403e+00,3.972000e-01
6,Train,1.744666e+00,3.748800e-01
6,Test,1.654669e+00,4.115000e-01
7,Train,1.722049e+00,3.793400e-01
7,Test,1.625179e+00,4.204000e-01
8,Train,1.697494e+00,3.876600e-01
8,Test,1.612795e+00,4.179000e-01
9,Train,1.687593e+00,3.916600e-01
9,Test,1.584553e+00,4.292000e-01
10,Train,1.659293e+00,4.009000e-01
10,Test,1.572042e+00,4.355000e-01
11,Train,1.647502e+00,4.072000e-01
11,Test,1.554055e+00,4.369000e-01
12,Train,1.630662e+00,4.100800e-01
12,Test,1.538322e+00,4.410000e-01
13,Train,1.615830e+00,4.158200e-01
13,Test,1.529129e+00,4.439000e-01
14,Train,1.602205e+00,4.201800e-01
14,Test,1.513118e+00,4.490000e-01
15,Train,1.589487e+00,4.225400e-01
15,Test,1.497658e+00,4.498000e-01
16,Train,1.583498e+00,4.284200e-01
16,Test,1.489091e+00,4.535000e-01
17,Train,1.570428e+00,4.323600e-01
17,Test,1.486312e+00,4.541000e-01
18,Train,1.563032e+00,4.322200e-01
18,Test,1.487850e+00,4.577000e-01
19,Train,1.552804e+00,4.353800e-01
19,Test,1.461455e+00,4.658000e-01
20,Train,1.542143e+00,4.405800e-01
20,Test,1.453548e+00,4.683000e-01
21,Train,1.536203e+00,4.433200e-01
21,Test,1.451871e+00,4.665000e-01
22,Train,1.527361e+00,4.445400e-01
22,Test,1.437465e+00,4.723000e-01
23,Train,1.522767e+00,4.475200e-01
23,Test,1.436682e+00,4.722000e-01
24,Train,1.510226e+00,4.526400e-01
24,Test,1.417558e+00,4.797000e-01
25,Train,1.506375e+00,4.561600e-01
25,Test,1.416506e+00,4.831000e-01
26,Train,1.503041e+00,4.560200e-01
26,Test,1.409324e+00,4.844000e-01
27,Train,1.490879e+00,4.604400e-01
27,Test,1.402288e+00,4.875000e-01
28,Train,1.488660e+00,4.603000e-01
28,Test,1.396557e+00,4.883000e-01
29,Train,1.481060e+00,4.621000e-01
29,Test,1.393036e+00,4.875000e-01
30,Train,1.479453e+00,4.657200e-01
30,Test,1.388480e+00,4.929000e-01
31,Train,1.469956e+00,4.688000e-01
31,Test,1.382104e+00,4.926000e-01
