epoch,mode,loss,accuracy
1,Train,2.280856e+00,1.379800e-01
1,Test,2.209114e+00,1.743000e-01
2,Train,2.177690e+00,2.009400e-01
2,Test,2.087501e+00,2.737000e-01
3,Train,2.030066e+00,2.694000e-01
3,Test,1.889047e+00,3.465000e-01
4,Train,1.878692e+00,3.247600e-01
4,Test,1.752313e+00,3.820000e-01
5,Train,1.801274e+00,3.535600e-01
5,Test,1.714086e+00,3.937000e-01
6,Train,1.753286e+00,3.694800e-01
6,Test,1.662991e+00,4.028000e-01
7,Train,1.731656e+00,3.769400e-01
7,Test,1.642340e+00,4.113000e-01
8,Train,1.702847e+00,3.888400e-01
8,Test,1.613509e+00,4.184000e-01
9,Train,1.683367e+00,3.957200e-01
9,Test,1.590866e+00,4.311000e-01
10,Train,1.669710e+00,4.019200e-01
10,Test,1.577690e+00,4.315000e-01
11,Train,1.648447e+00,4.084400e-01
11,Test,1.560940e+00,4.402000e-01
12,Train,1.631833e+00,4.143200e-01
12,Test,1.550532e+00,4.420000e-01
13,Train,1.619136e+00,4.180600e-01
13,Test,1.536255e+00,4.499000e-01
14,Train,1.604229e+00,4.244400e-01
14,Test,1.523041e+00,4.531000e-01
15,Train,1.592157e+00,4.281800e-01
15,Test,1.512386e+00,4.578000e-01
16,Train,1.581211e+00,4.322800e-01
16,Test,1.496576e+00,4.646000e-01
17,Train,1.572347e+00,4.343400e-01
17,Test,1.485492e+00,4.629000e-01
18,Train,1.561676e+00,4.396600e-01
18,Test,1.473439e+00,4.695000e-01
19,Train,1.550526e+00,4.428600e-01
19,Test,1.464791e+00,4.789000e-01
20,Train,1.544667e+00,4.479000e-01
20,Test,1.460866e+00,4.731000e-01
21,Train,1.531980e+00,4.511600e-01
21,Test,1.451903e+00,4.762000e-01
22,Train,1.527611e+00,4.527400e-01
22,Test,1.440104e+00,4.773000e-01
23,Train,1.517416e+00,4.545000e-01
23,Test,1.442151e+00,4.826000e-01
24,Train,1.514768e+00,4.527000e-01
24,Test,1.425709e+00,4.844000e-01
25,Train,1.503940e+00,4.592800e-01
25,Test,1.416427e+00,4.890000e-01
26,Train,1.499951e+00,4.588800e-01
26,Test,1.416941e+00,4.887000e-01
27,Train,1.496533e+00,4.620600e-01
27,Test,1.403563e+00,4.923000e-01
28,Train,1.488646e+00,4.670000e-01
28,Test,1.401240e+00,4.933000e-01
29,Train,1.478879e+00,4.693000e-01
29,Test,1.391776e+00,4.960000e-01
30,Train,1.480723e+00,4.672400e-01
30,Test,1.391901e+00,5.009000e-01
31,Train,1.477575e+00,4.743200e-01
31,Test,1.399338e+00,4.971000e-01
32,Train,1.465477e+00,4.722400e-01
32,Test,1.385249e+00,5.000000e-01
33,Train,1.458757e+00,4.782200e-01
33,Test,1.378772e+00,5.019000e-01
34,Train,1.459514e+00,4.771400e-01
34,Test,1.371941e+00,5.019000e-01
35,Train,1.452100e+00,4.758400e-01
35,Test,1.368079e+00,5.063000e-01
36,Train,1.448181e+00,4.791200e-01
36,Test,1.362749e+00,5.087000e-01
37,Train,1.444341e+00,4.839000e-01
37,Test,1.356742e+00,5.107000e-01
38,Train,1.439124e+00,4.861200e-01
38,Test,1.355812e+00,5.112000e-01
39,Train,1.436764e+00,4.829800e-01
39,Test,1.351079e+00,5.134000e-01
40,Train,1.430433e+00,4.852800e-01
40,Test,1.348770e+00,5.127000e-01
41,Train,1.427924e+00,4.894600e-01
41,Test,1.342510e+00,5.147000e-01
42,Train,1.424814e+00,4.907000e-01
42,Test,1.339254e+00,5.187000e-01
43,Train,1.416074e+00,4.921000e-01
43,Test,1.332721e+00,5.173000e-01
44,Train,1.417702e+00,4.937600e-01
44,Test,1.339544e+00,5.148000e-01
45,Train,1.412618e+00,4.958200e-01
45,Test,1.330584e+00,5.220000e-01
46,Train,1.412680e+00,4.966600e-01
46,Test,1.332994e+00,5.140000e-01
47,Train,1.404800e+00,4.951200e-01
47,Test,1.319788e+00,5.230000e-01
48,Train,1.400858e+00,4.998200e-01
48,Test,1.327871e+00,5.198000e-01
49,Train,1.397740e+00,4.993800e-01
49,Test,1.313917e+00,5.251000e-01
50,Train,1.391703e+00,5.030600e-01
50,Test,1.309078e+00,5.283000e-01
