epoch,mode,loss,accuracy
1,Train,2.289863e+00,1.176600e-01
1,Test,2.233113e+00,1.948000e-01
2,Train,2.115516e+00,2.273600e-01
2,Test,1.977061e+00,2.942000e-01
3,Train,1.955742e+00,2.783600e-01
3,Test,1.845204e+00,3.276000e-01
4,Train,1.847364e+00,3.130000e-01
4,Test,1.748619e+00,3.543000e-01
5,Train,1.795588e+00,3.320200e-01
5,Test,1.698193e+00,3.703000e-01
6,Train,1.745637e+00,3.506800e-01
6,Test,1.669495e+00,3.772000e-01
7,Train,1.713719e+00,3.644800e-01
7,Test,1.629865e+00,3.974000e-01
8,Train,1.688712e+00,3.735600e-01
8,Test,1.594683e+00,4.040000e-01
9,Train,1.667904e+00,3.843400e-01
9,Test,1.575134e+00,4.121000e-01
10,Train,1.637766e+00,3.960600e-01
10,Test,1.554105e+00,4.240000e-01
11,Train,1.624955e+00,4.019600e-01
11,Test,1.531976e+00,4.320000e-01
12,Train,1.597824e+00,4.107200e-01
12,Test,1.508777e+00,4.451000e-01
13,Train,1.584145e+00,4.167200e-01
13,Test,1.495412e+00,4.501000e-01
14,Train,1.555479e+00,4.284200e-01
14,Test,1.470931e+00,4.597000e-01
15,Train,1.543223e+00,4.343000e-01
15,Test,1.456324e+00,4.660000e-01
16,Train,1.548735e+00,4.366400e-01
16,Test,1.465673e+00,4.697000e-01
17,Train,1.517193e+00,4.449800e-01
17,Test,1.426758e+00,4.768000e-01
18,Train,1.512183e+00,4.493600e-01
18,Test,1.425648e+00,4.768000e-01
19,Train,1.493745e+00,4.547600e-01
19,Test,1.400700e+00,4.868000e-01
20,Train,1.484137e+00,4.585800e-01
20,Test,1.396313e+00,4.879000e-01
21,Train,1.468303e+00,4.647600e-01
21,Test,1.371936e+00,4.964000e-01
22,Train,1.452616e+00,4.708600e-01
22,Test,1.370882e+00,4.994000e-01
23,Train,1.440941e+00,4.761000e-01
23,Test,1.350739e+00,5.068000e-01
24,Train,1.424015e+00,4.834600e-01
24,Test,1.320007e+00,5.210000e-01
25,Train,1.426497e+00,4.849600e-01
25,Test,1.341904e+00,5.112000e-01
26,Train,1.400210e+00,4.933800e-01
26,Test,1.315586e+00,5.204000e-01
27,Train,1.383170e+00,4.960000e-01
27,Test,1.287691e+00,5.294000e-01
28,Train,1.377377e+00,5.009000e-01
28,Test,1.281886e+00,5.338000e-01
29,Train,1.362480e+00,5.076600e-01
29,Test,1.323826e+00,5.229000e-01
30,Train,1.361107e+00,5.102200e-01
30,Test,1.276099e+00,5.382000e-01
31,Train,1.340390e+00,5.140800e-01
31,Test,1.258088e+00,5.428000e-01
