epoch,mode,loss,accuracy
1,Train,2.301803e+00,1.119000e-01
1,Test,2.296367e+00,1.692000e-01
2,Train,2.232051e+00,1.640200e-01
2,Test,2.113067e+00,1.861000e-01
3,Train,2.063009e+00,1.976800e-01
3,Test,1.961064e+00,2.609000e-01
4,Train,1.974039e+00,2.367600e-01
4,Test,1.891858e+00,2.823000e-01
5,Train,1.893550e+00,2.790800e-01
5,Test,1.790144e+00,3.319000e-01
6,Train,1.814142e+00,3.159200e-01
6,Test,1.722074e+00,3.587000e-01
7,Train,1.756658e+00,3.401800e-01
7,Test,1.680509e+00,3.681000e-01
8,Train,1.719674e+00,3.503200e-01
8,Test,1.659124e+00,3.759000e-01
9,Train,1.701874e+00,3.630800e-01
9,Test,1.630188e+00,3.880000e-01
10,Train,1.679466e+00,3.708400e-01
10,Test,1.619835e+00,3.877000e-01
11,Train,1.660591e+00,3.811400e-01
11,Test,1.601264e+00,4.025000e-01
12,Train,1.645656e+00,3.886400e-01
12,Test,1.594473e+00,4.023000e-01
13,Train,1.639056e+00,3.945400e-01
13,Test,1.573905e+00,4.090000e-01
14,Train,1.623502e+00,3.997000e-01
14,Test,1.568437e+00,4.112000e-01
15,Train,1.606886e+00,4.084000e-01
15,Test,1.553717e+00,4.191000e-01
16,Train,1.602347e+00,4.107800e-01
16,Test,1.543453e+00,4.222000e-01
17,Train,1.589331e+00,4.148600e-01
17,Test,1.544516e+00,4.251000e-01
18,Train,1.582689e+00,4.192200e-01
18,Test,1.531531e+00,4.259000e-01
19,Train,1.575628e+00,4.222200e-01
19,Test,1.533095e+00,4.296000e-01
20,Train,1.561918e+00,4.281400e-01
20,Test,1.512342e+00,4.374000e-01
21,Train,1.557830e+00,4.269600e-01
21,Test,1.521245e+00,4.358000e-01
22,Train,1.556925e+00,4.300400e-01
22,Test,1.503718e+00,4.429000e-01
23,Train,1.548778e+00,4.336800e-01
23,Test,1.526087e+00,4.377000e-01
24,Train,1.537045e+00,4.394400e-01
24,Test,1.485294e+00,4.508000e-01
25,Train,1.528634e+00,4.433800e-01
25,Test,1.474511e+00,4.548000e-01
26,Train,1.527821e+00,4.431800e-01
26,Test,1.466765e+00,4.560000e-01
27,Train,1.520002e+00,4.458600e-01
27,Test,1.460258e+00,4.544000e-01
28,Train,1.515260e+00,4.507200e-01
28,Test,1.459519e+00,4.589000e-01
29,Train,1.502694e+00,4.519000e-01
29,Test,1.446018e+00,4.670000e-01
30,Train,1.499642e+00,4.561400e-01
30,Test,1.458034e+00,4.613000e-01
31,Train,1.494384e+00,4.562400e-01
31,Test,1.459615e+00,4.653000e-01
32,Train,1.490543e+00,4.597600e-01
32,Test,1.435763e+00,4.669000e-01
33,Train,1.485575e+00,4.595000e-01
33,Test,1.424849e+00,4.760000e-01
34,Train,1.477267e+00,4.631800e-01
34,Test,1.432410e+00,4.749000e-01
35,Train,1.473559e+00,4.658200e-01
35,Test,1.419708e+00,4.771000e-01
36,Train,1.465432e+00,4.665600e-01
36,Test,1.409152e+00,4.806000e-01
37,Train,1.468776e+00,4.687400e-01
37,Test,1.423218e+00,4.773000e-01
38,Train,1.457757e+00,4.722600e-01
38,Test,1.402093e+00,4.834000e-01
39,Train,1.447076e+00,4.738000e-01
39,Test,1.389733e+00,4.875000e-01
40,Train,1.447694e+00,4.763000e-01
40,Test,1.383689e+00,4.884000e-01
41,Train,1.443073e+00,4.793600e-01
41,Test,1.390856e+00,4.887000e-01
42,Train,1.440319e+00,4.805000e-01
42,Test,1.398499e+00,4.837000e-01
43,Train,1.438176e+00,4.801800e-01
43,Test,1.383279e+00,4.903000e-01
44,Train,1.430561e+00,4.819800e-01
44,Test,1.381245e+00,4.948000e-01
45,Train,1.424868e+00,4.850200e-01
45,Test,1.365541e+00,4.962000e-01
46,Train,1.420198e+00,4.901000e-01
46,Test,1.365190e+00,5.000000e-01
47,Train,1.412941e+00,4.903600e-01
47,Test,1.364070e+00,4.940000e-01
48,Train,1.413513e+00,4.888800e-01
48,Test,1.345101e+00,5.047000e-01
49,Train,1.404325e+00,4.951600e-01
49,Test,1.348990e+00,5.053000e-01
50,Train,1.400921e+00,4.923000e-01
50,Test,1.340069e+00,5.091000e-01
51,Train,1.395513e+00,4.955600e-01
51,Test,1.335352e+00,5.102000e-01
52,Train,1.389916e+00,4.980800e-01
52,Test,1.329397e+00,5.105000e-01
53,Train,1.383017e+00,4.977600e-01
53,Test,1.325017e+00,5.124000e-01
54,Train,1.372232e+00,5.058400e-01
54,Test,1.320644e+00,5.155000e-01
55,Train,1.376028e+00,5.048400e-01
55,Test,1.323162e+00,5.143000e-01
56,Train,1.368523e+00,5.063600e-01
56,Test,1.313581e+00,5.150000e-01
57,Train,1.366064e+00,5.094800e-01
57,Test,1.304561e+00,5.200000e-01
58,Train,1.358800e+00,5.124800e-01
58,Test,1.305220e+00,5.222000e-01
59,Train,1.367590e+00,5.084200e-01
59,Test,1.338849e+00,5.123000e-01
60,Train,1.353299e+00,5.109000e-01
60,Test,1.314671e+00,5.157000e-01
61,Train,1.342888e+00,5.179600e-01
61,Test,1.292367e+00,5.298000e-01
62,Train,1.339606e+00,5.190800e-01
62,Test,1.294206e+00,5.248000e-01
63,Train,1.332975e+00,5.223600e-01
63,Test,1.283904e+00,5.304000e-01
64,Train,1.331387e+00,5.215600e-01
64,Test,1.284293e+00,5.260000e-01
65,Train,1.334688e+00,5.197200e-01
65,Test,1.304606e+00,5.230000e-01
66,Train,1.325263e+00,5.249600e-01
66,Test,1.263544e+00,5.373000e-01
67,Train,1.316604e+00,5.298200e-01
67,Test,1.263243e+00,5.349000e-01
68,Train,1.310281e+00,5.310200e-01
68,Test,1.277314e+00,5.308000e-01
69,Train,1.314517e+00,5.289600e-01
69,Test,1.261938e+00,5.392000e-01
70,Train,1.298986e+00,5.335200e-01
70,Test,1.254249e+00,5.408000e-01
71,Train,1.299891e+00,5.341200e-01
71,Test,1.255449e+00,5.402000e-01
72,Train,1.296219e+00,5.363600e-01
72,Test,1.242329e+00,5.474000e-01
73,Train,1.284903e+00,5.386600e-01
73,Test,1.237680e+00,5.468000e-01
74,Train,1.287746e+00,5.407600e-01
