epoch,mode,loss,accuracy
1,Train,2.231657e+00,1.643800e-01
1,Test,2.053928e+00,2.544000e-01
2,Train,2.038815e+00,2.518200e-01
2,Test,1.911831e+00,3.242000e-01
3,Train,1.934790e+00,3.027200e-01
3,Test,1.802094e+00,3.697000e-01
4,Train,1.839322e+00,3.401400e-01
4,Test,1.706978e+00,3.943000e-01
5,Train,1.748245e+00,3.715600e-01
5,Test,1.592687e+00,4.286000e-01
6,Train,1.678071e+00,3.913800e-01
6,Test,1.543375e+00,4.382000e-01
7,Train,1.644133e+00,4.026600e-01
7,Test,1.514284e+00,4.493000e-01
8,Train,1.611623e+00,4.124000e-01
8,Test,1.483304e+00,4.567000e-01
9,Train,1.592055e+00,4.231600e-01
9,Test,1.477722e+00,4.653000e-01
10,Train,1.572179e+00,4.284600e-01
10,Test,1.442225e+00,4.762000e-01
11,Train,1.554229e+00,4.362600e-01
11,Test,1.436580e+00,4.744000e-01
12,Train,1.527815e+00,4.435600e-01
12,Test,1.416670e+00,4.888000e-01
13,Train,1.519514e+00,4.480200e-01
13,Test,1.399729e+00,4.893000e-01
14,Train,1.499261e+00,4.567800e-01
14,Test,1.386194e+00,4.940000e-01
15,Train,1.496222e+00,4.572800e-01
15,Test,1.376699e+00,4.972000e-01
16,Train,1.486316e+00,4.625000e-01
16,Test,1.375161e+00,5.009000e-01
17,Train,1.474795e+00,4.650200e-01
17,Test,1.364719e+00,5.068000e-01
18,Train,1.454913e+00,4.756000e-01
18,Test,1.345486e+00,5.128000e-01
19,Train,1.448263e+00,4.751000e-01
19,Test,1.328829e+00,5.198000e-01
20,Train,1.439926e+00,4.783800e-01
20,Test,1.355811e+00,5.147000e-01
21,Train,1.434391e+00,4.816200e-01
21,Test,1.333862e+00,5.261000e-01
22,Train,1.423213e+00,4.869000e-01
22,Test,1.302957e+00,5.359000e-01
23,Train,1.417837e+00,4.917400e-01
23,Test,1.309133e+00,5.293000e-01
24,Train,1.404238e+00,4.952200e-01
24,Test,1.294731e+00,5.404000e-01
25,Train,1.393940e+00,4.972200e-01
25,Test,1.284326e+00,5.421000e-01
26,Train,1.383079e+00,5.019000e-01
26,Test,1.293559e+00,5.396000e-01
27,Train,1.370702e+00,5.061200e-01
27,Test,1.259564e+00,5.539000e-01
28,Train,1.368597e+00,5.074400e-01
28,Test,1.282099e+00,5.439000e-01
29,Train,1.354410e+00,5.145000e-01
29,Test,1.257372e+00,5.479000e-01
30,Train,1.339917e+00,5.166800e-01
30,Test,1.229499e+00,5.598000e-01
31,Train,1.335356e+00,5.220000e-01
31,Test,1.218118e+00,5.668000e-01
32,Train,1.328293e+00,5.232000e-01
32,Test,1.219570e+00,5.687000e-01
33,Train,1.313843e+00,5.274600e-01
33,Test,1.195522e+00,5.745000e-01
34,Train,1.311474e+00,5.328200e-01
34,Test,1.199422e+00,5.762000e-01
35,Train,1.299098e+00,5.349800e-01
35,Test,1.175596e+00,5.842000e-01
36,Train,1.284655e+00,5.405000e-01
36,Test,1.170529e+00,5.871000e-01
37,Train,1.272600e+00,5.445200e-01
37,Test,1.176046e+00,5.816000e-01
38,Train,1.265405e+00,5.464600e-01
38,Test,1.146728e+00,5.959000e-01
39,Train,1.258452e+00,5.494800e-01
39,Test,1.146288e+00,5.921000e-01
40,Train,1.246334e+00,5.536400e-01
40,Test,1.162333e+00,5.894000e-01
41,Train,1.240391e+00,5.549200e-01
41,Test,1.120766e+00,6.067000e-01
42,Train,1.237615e+00,5.604600e-01
42,Test,1.135287e+00,6.036000e-01
43,Train,1.221983e+00,5.651800e-01
43,Test,1.113523e+00,6.059000e-01
44,Train,1.209716e+00,5.683400e-01
44,Test,1.098432e+00,6.126000e-01
45,Train,1.196371e+00,5.749600e-01
45,Test,1.078901e+00,6.186000e-01
46,Train,1.196469e+00,5.760800e-01
46,Test,1.085428e+00,6.196000e-01
47,Train,1.187652e+00,5.783800e-01
47,Test,1.089711e+00,6.171000e-01
48,Train,1.185780e+00,5.796000e-01
48,Test,1.091431e+00,6.181000e-01
49,Train,1.174631e+00,5.823000e-01
49,Test,1.082328e+00,6.170000e-01
50,Train,1.170348e+00,5.829400e-01
50,Test,1.060260e+00,6.288000e-01
51,Train,1.165170e+00,5.843400e-01
51,Test,1.095419e+00,6.170000e-01
52,Train,1.156465e+00,5.899000e-01
52,Test,1.047659e+00,6.319000e-01
53,Train,1.149137e+00,5.908200e-01
53,Test,1.072501e+00,6.221000e-01
54,Train,1.145569e+00,5.931200e-01
54,Test,1.066922e+00,6.255000e-01
55,Train,1.133756e+00,5.954200e-01
55,Test,1.042555e+00,6.371000e-01
56,Train,1.129672e+00,5.974800e-01
56,Test,1.033684e+00,6.363000e-01
57,Train,1.127493e+00,5.999400e-01
57,Test,1.035792e+00,6.384000e-01
58,Train,1.121051e+00,6.007200e-01
58,Test,1.036011e+00,6.331000e-01
59,Train,1.111189e+00,6.033600e-01
59,Test,1.034829e+00,6.367000e-01
60,Train,1.105215e+00,6.055000e-01
60,Test,1.021598e+00,6.448000e-01
61,Train,1.109231e+00,6.052400e-01
61,Test,1.020908e+00,6.398000e-01
62,Train,1.105081e+00,6.063800e-01
62,Test,1.053162e+00,6.345000e-01
63,Train,1.098681e+00,6.114400e-01
63,Test,1.025381e+00,6.395000e-01
64,Train,1.092230e+00,6.124400e-01
64,Test,1.011124e+00,6.424000e-01
65,Train,1.080940e+00,6.166600e-01
65,Test,1.008433e+00,6.465000e-01
66,Train,1.082678e+00,6.152000e-01
66,Test,1.000657e+00,6.496000e-01
67,Train,1.074993e+00,6.169800e-01
67,Test,1.026710e+00,6.376000e-01
68,Train,1.080448e+00,6.147600e-01
68,Test,1.005993e+00,6.474000e-01
69,Train,1.062512e+00,6.204200e-01
69,Test,9.965690e-01,6.519000e-01
70,Train,1.072834e+00,6.181400e-01
70,Test,9.966493e-01,6.505000e-01
71,Train,1.057735e+00,6.238200e-01
71,Test,9.932268e-01,6.538000e-01
72,Train,1.060275e+00,6.212000e-01
72,Test,9.917435e-01,6.490000e-01
73,Train,1.047640e+00,6.268600e-01
73,Test,1.008616e+00,6.476000e-01
74,Train,1.041130e+00,6.280600e-01
74,Test,9.838919e-01,6.546000e-01
75,Train,1.042098e+00,6.290400e-01
75,Test,9.944076e-01,6.532000e-01
76,Train,1.041887e+00,6.310400e-01
76,Test,9.818130e-01,6.526000e-01
77,Train,1.034610e+00,6.326600e-01
77,Test,9.763551e-01,6.558000e-01
78,Train,1.031293e+00,6.314400e-01
78,Test,9.911421e-01,6.518000e-01
79,Train,1.025911e+00,6.334800e-01
79,Test,9.868084e-01,6.514000e-01
80,Train,1.029215e+00,6.340000e-01
80,Test,9.805738e-01,6.559000e-01
81,Train,1.027242e+00,6.362200e-01
81,Test,9.834025e-01,6.552000e-01
82,Train,1.024915e+00,6.351600e-01
82,Test,9.871897e-01,6.543000e-01
83,Train,1.013452e+00,6.391400e-01
83,Test,9.962718e-01,6.501000e-01
84,Train,1.005137e+00,6.427400e-01
84,Test,9.682063e-01,6.600000e-01
85,Train,1.013853e+00,6.374400e-01
85,Test,9.708910e-01,6.569000e-01
86,Train,1.004818e+00,6.422400e-01
86,Test,9.609379e-01,6.673000e-01
87,Train,1.002342e+00,6.416600e-01
87,Test,9.695339e-01,6.612000e-01
88,Train,1.004800e+00,6.420000e-01
88,Test,9.658519e-01,6.626000e-01
89,Train,9.945164e-01,6.457800e-01
89,Test,9.598123e-01,6.667000e-01
90,Train,9.850084e-01,6.468800e-01
90,Test,9.652394e-01,6.616000e-01
91,Train,9.927101e-01,6.449800e-01
91,Test,9.538478e-01,6.690000e-01
92,Train,9.809865e-01,6.477200e-01
92,Test,9.653855e-01,6.624000e-01
93,Train,9.862843e-01,6.484000e-01
93,Test,9.584916e-01,6.642000e-01
94,Train,9.773261e-01,6.494200e-01
94,Test,9.572081e-01,6.663000e-01
95,Train,9.713287e-01,6.544600e-01
95,Test,9.509084e-01,6.682000e-01
96,Train,9.762568e-01,6.509800e-01
96,Test,9.494537e-01,6.683000e-01
97,Train,9.659300e-01,6.527400e-01
97,Test,9.523437e-01,6.655000e-01
98,Train,9.711724e-01,6.515800e-01
98,Test,9.616563e-01,6.637000e-01
99,Train,9.604357e-01,6.548600e-01
99,Test,9.436419e-01,6.709000e-01
100,Train,9.580635e-01,6.572200e-01
100,Test,9.466232e-01,6.697000e-01
101,Train,9.593601e-01,6.560200e-01
101,Test,9.407110e-01,6.736000e-01
102,Train,9.513496e-01,6.589200e-01
102,Test,9.673680e-01,6.646000e-01
103,Train,9.452533e-01,6.607000e-01
103,Test,9.376341e-01,6.748000e-01
104,Train,9.515858e-01,6.591800e-01
104,Test,9.473703e-01,6.703000e-01
105,Train,9.392748e-01,6.645400e-01
105,Test,9.375681e-01,6.726000e-01
106,Train,9.335181e-01,6.658000e-01
106,Test,9.521557e-01,6.654000e-01
107,Train,9.327100e-01,6.654400e-01
107,Test,9.493195e-01,6.701000e-01
108,Train,9.367125e-01,6.612200e-01
108,Test,9.381548e-01,6.716000e-01
109,Train,9.285351e-01,6.647400e-01
109,Test,9.389368e-01,6.702000e-01
110,Train,9.381070e-01,6.626400e-01
110,Test,9.388034e-01,6.737000e-01
111,Train,9.293584e-01,6.658000e-01
111,Test,9.440197e-01,6.735000e-01
112,Train,9.213206e-01,6.686600e-01
112,Test,9.391376e-01,6.745000e-01
113,Train,9.205561e-01,6.668600e-01
113,Test,9.448283e-01,6.762000e-01
