epoch,mode,loss,accuracy
1,Train,2.255765e+00,1.541200e-01
1,Test,2.121435e+00,2.689000e-01
2,Train,2.058184e+00,2.734000e-01
2,Test,1.902816e+00,3.492000e-01
3,Train,1.914100e+00,3.234200e-01
3,Test,1.742340e+00,3.971000e-01
4,Train,1.810162e+00,3.519400e-01
4,Test,1.664762e+00,4.166000e-01
5,Train,1.751822e+00,3.717000e-01
5,Test,1.633078e+00,4.272000e-01
6,Train,1.717866e+00,3.853600e-01
6,Test,1.582963e+00,4.434000e-01
7,Train,1.682160e+00,3.945600e-01
7,Test,1.556137e+00,4.450000e-01
8,Train,1.643195e+00,4.073600e-01
8,Test,1.508344e+00,4.589000e-01
9,Train,1.617254e+00,4.160000e-01
9,Test,1.477199e+00,4.687000e-01
10,Train,1.594513e+00,4.211600e-01
10,Test,1.476530e+00,4.661000e-01
11,Train,1.575293e+00,4.270200e-01
11,Test,1.437803e+00,4.780000e-01
12,Train,1.552088e+00,4.359200e-01
12,Test,1.419428e+00,4.820000e-01
13,Train,1.542390e+00,4.397600e-01
13,Test,1.420621e+00,4.867000e-01
14,Train,1.516090e+00,4.489400e-01
14,Test,1.404392e+00,4.872000e-01
15,Train,1.499441e+00,4.545200e-01
15,Test,1.371413e+00,5.023000e-01
16,Train,1.482226e+00,4.625800e-01
16,Test,1.365060e+00,5.045000e-01
17,Train,1.472987e+00,4.664400e-01
17,Test,1.347190e+00,5.125000e-01
18,Train,1.458890e+00,4.704400e-01
18,Test,1.327371e+00,5.159000e-01
19,Train,1.453903e+00,4.725600e-01
19,Test,1.335655e+00,5.117000e-01
20,Train,1.439633e+00,4.786200e-01
20,Test,1.325944e+00,5.289000e-01
21,Train,1.430158e+00,4.818400e-01
21,Test,1.306226e+00,5.298000e-01
22,Train,1.424437e+00,4.870000e-01
22,Test,1.329539e+00,5.246000e-01
23,Train,1.429425e+00,4.827200e-01
23,Test,1.289755e+00,5.370000e-01
24,Train,1.397964e+00,4.940400e-01
24,Test,1.285292e+00,5.389000e-01
25,Train,1.390719e+00,5.027600e-01
25,Test,1.265995e+00,5.476000e-01
26,Train,1.387607e+00,5.006600e-01
26,Test,1.263173e+00,5.472000e-01
27,Train,1.375088e+00,5.035400e-01
27,Test,1.249268e+00,5.510000e-01
28,Train,1.360299e+00,5.120800e-01
28,Test,1.237368e+00,5.554000e-01
29,Train,1.365471e+00,5.102000e-01
29,Test,1.231387e+00,5.598000e-01
30,Train,1.350786e+00,5.116400e-01
30,Test,1.235363e+00,5.562000e-01
31,Train,1.344633e+00,5.150800e-01
31,Test,1.234266e+00,5.619000e-01
32,Train,1.340551e+00,5.184000e-01
32,Test,1.230436e+00,5.652000e-01
33,Train,1.331557e+00,5.222600e-01
33,Test,1.210280e+00,5.729000e-01
34,Train,1.320571e+00,5.241600e-01
34,Test,1.208685e+00,5.727000e-01
35,Train,1.310071e+00,5.280600e-01
35,Test,1.202456e+00,5.727000e-01
36,Train,1.311435e+00,5.307600e-01
36,Test,1.205558e+00,5.703000e-01
37,Train,1.304819e+00,5.311000e-01
37,Test,1.185460e+00,5.786000e-01
38,Train,1.293233e+00,5.351800e-01
38,Test,1.171375e+00,5.860000e-01
39,Train,1.283559e+00,5.379000e-01
39,Test,1.174401e+00,5.804000e-01
40,Train,1.272908e+00,5.416200e-01
40,Test,1.163034e+00,5.865000e-01
41,Train,1.273039e+00,5.397600e-01
41,Test,1.162196e+00,5.886000e-01
42,Train,1.265231e+00,5.453000e-01
42,Test,1.158322e+00,5.892000e-01
43,Train,1.255589e+00,5.485800e-01
43,Test,1.148484e+00,5.916000e-01
44,Train,1.253158e+00,5.472800e-01
44,Test,1.163461e+00,5.893000e-01
45,Train,1.249475e+00,5.521200e-01
45,Test,1.138603e+00,5.982000e-01
46,Train,1.235717e+00,5.540600e-01
46,Test,1.134031e+00,5.976000e-01
47,Train,1.228725e+00,5.590400e-01
47,Test,1.133481e+00,6.004000e-01
48,Train,1.229922e+00,5.581000e-01
48,Test,1.133889e+00,5.997000e-01
49,Train,1.222027e+00,5.637000e-01
49,Test,1.121677e+00,6.029000e-01
50,Train,1.212242e+00,5.630200e-01
50,Test,1.114499e+00,6.056000e-01
51,Train,1.201232e+00,5.682200e-01
51,Test,1.119949e+00,6.046000e-01
52,Train,1.215520e+00,5.616400e-01
52,Test,1.104134e+00,6.105000e-01
53,Train,1.196130e+00,5.703800e-01
53,Test,1.104403e+00,6.081000e-01
54,Train,1.186656e+00,5.738800e-01
54,Test,1.096690e+00,6.094000e-01
55,Train,1.177828e+00,5.759200e-01
55,Test,1.097895e+00,6.085000e-01
56,Train,1.172831e+00,5.775000e-01
56,Test,1.089778e+00,6.110000e-01
57,Train,1.164054e+00,5.813000e-01
57,Test,1.094926e+00,6.107000e-01
58,Train,1.162548e+00,5.827200e-01
58,Test,1.092969e+00,6.082000e-01
59,Train,1.161808e+00,5.815600e-01
59,Test,1.080616e+00,6.174000e-01
60,Train,1.159092e+00,5.828400e-01
60,Test,1.067807e+00,6.221000e-01
61,Train,1.144755e+00,5.875400e-01
61,Test,1.074187e+00,6.238000e-01
62,Train,1.143276e+00,5.902600e-01
62,Test,1.067373e+00,6.226000e-01
63,Train,1.139918e+00,5.887400e-01
63,Test,1.074022e+00,6.208000e-01
64,Train,1.129864e+00,5.915000e-01
64,Test,1.062286e+00,6.206000e-01
65,Train,1.132306e+00,5.915400e-01
65,Test,1.058354e+00,6.251000e-01
66,Train,1.132875e+00,5.913000e-01
66,Test,1.057032e+00,6.257000e-01
67,Train,1.115540e+00,5.977400e-01
67,Test,1.048546e+00,6.313000e-01
68,Train,1.115229e+00,5.986200e-01
68,Test,1.057496e+00,6.239000e-01
69,Train,1.106613e+00,6.011400e-01
69,Test,1.086547e+00,6.220000e-01
70,Train,1.111229e+00,6.008000e-01
70,Test,1.043283e+00,6.320000e-01
71,Train,1.097220e+00,6.034000e-01
71,Test,1.040563e+00,6.274000e-01
72,Train,1.099113e+00,6.026000e-01
72,Test,1.038550e+00,6.343000e-01
73,Train,1.096571e+00,6.049200e-01
73,Test,1.038601e+00,6.357000e-01
74,Train,1.085949e+00,6.091200e-01
74,Test,1.038306e+00,6.315000e-01
75,Train,1.085787e+00,6.084200e-01
75,Test,1.033881e+00,6.344000e-01
76,Train,1.080143e+00,6.114000e-01
76,Test,1.032710e+00,6.320000e-01
77,Train,1.076958e+00,6.120000e-01
77,Test,1.031623e+00,6.370000e-01
78,Train,1.074909e+00,6.122000e-01
78,Test,1.038274e+00,6.345000e-01
79,Train,1.071220e+00,6.124000e-01
79,Test,1.028482e+00,6.392000e-01
80,Train,1.062487e+00,6.164000e-01
80,Test,1.023127e+00,6.389000e-01
81,Train,1.064055e+00,6.154600e-01
81,Test,1.023204e+00,6.412000e-01
82,Train,1.055240e+00,6.168200e-01
82,Test,1.025536e+00,6.403000e-01
83,Train,1.054479e+00,6.191200e-01
83,Test,1.021958e+00,6.350000e-01
84,Train,1.052445e+00,6.166200e-01
84,Test,1.018697e+00,6.414000e-01
85,Train,1.053662e+00,6.164800e-01
85,Test,1.018896e+00,6.431000e-01
86,Train,1.046973e+00,6.234800e-01
86,Test,1.011363e+00,6.463000e-01
87,Train,1.033760e+00,6.254600e-01
87,Test,1.013774e+00,6.446000e-01
88,Train,1.033266e+00,6.240400e-01
88,Test,1.030759e+00,6.394000e-01
89,Train,1.035937e+00,6.240800e-01
89,Test,1.017673e+00,6.406000e-01
90,Train,1.026456e+00,6.305000e-01
90,Test,1.017145e+00,6.450000e-01
91,Train,1.031712e+00,6.264600e-01
91,Test,1.015929e+00,6.458000e-01
92,Train,1.027489e+00,6.276800e-01
92,Test,1.013378e+00,6.445000e-01
93,Train,1.027958e+00,6.253800e-01
93,Test,1.014909e+00,6.437000e-01
94,Train,1.021737e+00,6.277400e-01
94,Test,1.005167e+00,6.462000e-01
95,Train,1.024258e+00,6.278200e-01
95,Test,1.017734e+00,6.434000e-01
96,Train,1.008295e+00,6.328800e-01
96,Test,1.006371e+00,6.461000e-01
97,Train,1.002650e+00,6.338000e-01
97,Test,1.000456e+00,6.451000e-01
98,Train,1.007402e+00,6.316000e-01
98,Test,1.013740e+00,6.462000e-01
99,Train,1.000793e+00,6.356200e-01
99,Test,1.005873e+00,6.436000e-01
100,Train,9.986682e-01,6.381000e-01
100,Test,1.005201e+00,6.481000e-01
101,Train,9.953194e-01,6.342400e-01
101,Test,1.020725e+00,6.420000e-01
102,Train,1.008386e+00,6.375000e-01
102,Test,1.007860e+00,6.485000e-01
103,Train,9.973277e-01,6.372800e-01
103,Test,1.002732e+00,6.489000e-01
104,Train,9.859468e-01,6.409200e-01
104,Test,1.008711e+00,6.487000e-01
105,Train,9.879579e-01,6.400800e-01
105,Test,9.985877e-01,6.490000e-01
106,Train,9.866611e-01,6.412400e-01
106,Test,9.967894e-01,6.507000e-01
107,Train,9.804822e-01,6.437800e-01
107,Test,9.994702e-01,6.486000e-01
108,Train,9.704093e-01,6.453000e-01
108,Test,9.956477e-01,6.493000e-01
109,Train,9.767392e-01,6.436800e-01
109,Test,9.949983e-01,6.519000e-01
110,Train,9.761945e-01,6.432000e-01
110,Test,1.010767e+00,6.477000e-01
111,Train,9.732307e-01,6.465800e-01
