epoch,mode,loss,accuracy
1,Train,2.272938e+00,1.535000e-01
1,Test,2.203389e+00,2.027000e-01
2,Train,2.129003e+00,2.547800e-01
2,Test,2.074076e+00,2.795000e-01
3,Train,2.026938e+00,2.976000e-01
3,Test,1.983639e+00,3.157000e-01
4,Train,1.963436e+00,3.224800e-01
4,Test,1.945640e+00,3.262000e-01
5,Train,1.924146e+00,3.343400e-01
5,Test,1.882136e+00,3.481000e-01
6,Train,1.847298e+00,3.576200e-01
6,Test,1.810973e+00,3.658000e-01
7,Train,1.799874e+00,3.755000e-01
7,Test,1.770956e+00,3.833000e-01
8,Train,1.773394e+00,3.844800e-01
8,Test,1.748154e+00,3.943000e-01
9,Train,1.751379e+00,3.899600e-01
9,Test,1.731835e+00,4.005000e-01
10,Train,1.731356e+00,3.995200e-01
10,Test,1.708429e+00,4.101000e-01
11,Train,1.718351e+00,4.039400e-01
11,Test,1.692063e+00,4.119000e-01
12,Train,1.698444e+00,4.111600e-01
12,Test,1.682665e+00,4.183000e-01
13,Train,1.684078e+00,4.179800e-01
13,Test,1.669205e+00,4.205000e-01
14,Train,1.670733e+00,4.228600e-01
14,Test,1.655310e+00,4.210000e-01
15,Train,1.660748e+00,4.243400e-01
15,Test,1.652182e+00,4.215000e-01
16,Train,1.649834e+00,4.294800e-01
16,Test,1.661133e+00,4.214000e-01
17,Train,1.639871e+00,4.331400e-01
17,Test,1.629893e+00,4.267000e-01
18,Train,1.629136e+00,4.354000e-01
18,Test,1.619488e+00,4.291000e-01
19,Train,1.617144e+00,4.398200e-01
19,Test,1.604663e+00,4.449000e-01
20,Train,1.611885e+00,4.399400e-01
20,Test,1.596908e+00,4.466000e-01
21,Train,1.596107e+00,4.463800e-01
21,Test,1.583036e+00,4.499000e-01
22,Train,1.585583e+00,4.510800e-01
22,Test,1.575211e+00,4.499000e-01
23,Train,1.576553e+00,4.529600e-01
23,Test,1.558638e+00,4.576000e-01
24,Train,1.563943e+00,4.578400e-01
24,Test,1.551083e+00,4.587000e-01
25,Train,1.555687e+00,4.608400e-01
25,Test,1.554553e+00,4.591000e-01
26,Train,1.550079e+00,4.620800e-01
26,Test,1.534717e+00,4.635000e-01
27,Train,1.541056e+00,4.653000e-01
27,Test,1.533713e+00,4.637000e-01
28,Train,1.540839e+00,4.666000e-01
28,Test,1.538894e+00,4.640000e-01
29,Train,1.523180e+00,4.720000e-01
29,Test,1.517129e+00,4.741000e-01
30,Train,1.517482e+00,4.753800e-01
30,Test,1.517319e+00,4.661000e-01
31,Train,1.510715e+00,4.769600e-01
31,Test,1.506425e+00,4.751000e-01
32,Train,1.506615e+00,4.775800e-01
32,Test,1.518244e+00,4.666000e-01
33,Train,1.499954e+00,4.801600e-01
33,Test,1.501994e+00,4.773000e-01
34,Train,1.490122e+00,4.854200e-01
34,Test,1.493702e+00,4.822000e-01
35,Train,1.488138e+00,4.854400e-01
35,Test,1.486239e+00,4.795000e-01
36,Train,1.479542e+00,4.870800e-01
36,Test,1.487527e+00,4.809000e-01
37,Train,1.477002e+00,4.876400e-01
37,Test,1.486870e+00,4.807000e-01
38,Train,1.471427e+00,4.912200e-01
38,Test,1.480299e+00,4.818000e-01
39,Train,1.466273e+00,4.917200e-01
39,Test,1.472124e+00,4.853000e-01
40,Train,1.459097e+00,4.953200e-01
40,Test,1.459228e+00,4.920000e-01
41,Train,1.453761e+00,4.967000e-01
41,Test,1.458858e+00,4.873000e-01
42,Train,1.447150e+00,4.988000e-01
42,Test,1.455959e+00,4.897000e-01
43,Train,1.441765e+00,5.035400e-01
43,Test,1.450645e+00,4.913000e-01
44,Train,1.434811e+00,5.031400e-01
44,Test,1.450050e+00,4.947000e-01
45,Train,1.434254e+00,5.034800e-01
45,Test,1.446102e+00,4.937000e-01
46,Train,1.427795e+00,5.066800e-01
46,Test,1.431841e+00,4.987000e-01
47,Train,1.417303e+00,5.098200e-01
47,Test,1.425476e+00,4.995000e-01
48,Train,1.416099e+00,5.111000e-01
48,Test,1.437024e+00,4.965000e-01
49,Train,1.415099e+00,5.121400e-01
49,Test,1.432134e+00,4.962000e-01
50,Train,1.409164e+00,5.120400e-01
50,Test,1.428231e+00,5.005000e-01
