epoch,mode,loss,accuracy
1,Train,2.269926e+00,1.471800e-01
1,Test,2.172533e+00,1.951000e-01
2,Train,2.084554e+00,2.338200e-01
2,Test,1.932837e+00,3.308000e-01
3,Train,1.900879e+00,3.152800e-01
3,Test,1.777153e+00,3.732000e-01
4,Train,1.815652e+00,3.409800e-01
4,Test,1.721825e+00,3.934000e-01
5,Train,1.766283e+00,3.621000e-01
5,Test,1.698176e+00,3.972000e-01
6,Train,1.734830e+00,3.756400e-01
6,Test,1.645973e+00,4.124000e-01
7,Train,1.707118e+00,3.834200e-01
7,Test,1.617907e+00,4.220000e-01
8,Train,1.682101e+00,3.941400e-01
8,Test,1.604483e+00,4.231000e-01
9,Train,1.664996e+00,3.987000e-01
9,Test,1.578649e+00,4.359000e-01
10,Train,1.645515e+00,4.043800e-01
10,Test,1.558094e+00,4.411000e-01
11,Train,1.633564e+00,4.119200e-01
11,Test,1.541958e+00,4.449000e-01
12,Train,1.615575e+00,4.173600e-01
12,Test,1.535998e+00,4.473000e-01
13,Train,1.598525e+00,4.257600e-01
13,Test,1.514816e+00,4.512000e-01
14,Train,1.590649e+00,4.271800e-01
14,Test,1.505116e+00,4.558000e-01
15,Train,1.575025e+00,4.329800e-01
15,Test,1.495160e+00,4.597000e-01
16,Train,1.565837e+00,4.359400e-01
16,Test,1.483074e+00,4.567000e-01
17,Train,1.556676e+00,4.395800e-01
17,Test,1.475131e+00,4.642000e-01
18,Train,1.544478e+00,4.472400e-01
18,Test,1.461492e+00,4.692000e-01
19,Train,1.532659e+00,4.488800e-01
19,Test,1.450947e+00,4.727000e-01
20,Train,1.525816e+00,4.525400e-01
20,Test,1.435804e+00,4.736000e-01
21,Train,1.513049e+00,4.579200e-01
21,Test,1.431339e+00,4.788000e-01
22,Train,1.508023e+00,4.599000e-01
22,Test,1.427163e+00,4.844000e-01
23,Train,1.502441e+00,4.608800e-01
23,Test,1.427924e+00,4.770000e-01
24,Train,1.492776e+00,4.645200e-01
24,Test,1.410065e+00,4.872000e-01
25,Train,1.486451e+00,4.675400e-01
25,Test,1.408490e+00,4.906000e-01
26,Train,1.481856e+00,4.699200e-01
26,Test,1.399106e+00,4.916000e-01
27,Train,1.473542e+00,4.713400e-01
27,Test,1.390150e+00,4.968000e-01
