epoch,mode,loss,accuracy
1,Train,2.272301e+00,1.683400e-01
1,Test,2.205363e+00,2.006000e-01
2,Train,2.141599e+00,2.382200e-01
2,Test,2.068127e+00,2.759000e-01
3,Train,1.995057e+00,2.903600e-01
3,Test,1.935120e+00,3.093000e-01
4,Train,1.909092e+00,3.140600e-01
4,Test,1.880979e+00,3.238000e-01
5,Train,1.869186e+00,3.254600e-01
5,Test,1.851253e+00,3.288000e-01
6,Train,1.836727e+00,3.354600e-01
6,Test,1.825863e+00,3.411000e-01
7,Train,1.814740e+00,3.463600e-01
7,Test,1.797695e+00,3.556000e-01
8,Train,1.797494e+00,3.533400e-01
8,Test,1.782755e+00,3.592000e-01
9,Train,1.781101e+00,3.569400e-01
9,Test,1.771211e+00,3.641000e-01
10,Train,1.766339e+00,3.639400e-01
10,Test,1.761030e+00,3.600000e-01
11,Train,1.753520e+00,3.685200e-01
11,Test,1.746505e+00,3.705000e-01
12,Train,1.745384e+00,3.717200e-01
12,Test,1.743698e+00,3.706000e-01
13,Train,1.729503e+00,3.782800e-01
13,Test,1.736648e+00,3.729000e-01
14,Train,1.726003e+00,3.779600e-01
14,Test,1.717858e+00,3.795000e-01
15,Train,1.710326e+00,3.842200e-01
15,Test,1.707550e+00,3.795000e-01
16,Train,1.700607e+00,3.855800e-01
16,Test,1.701001e+00,3.847000e-01
17,Train,1.691530e+00,3.878800e-01
17,Test,1.694726e+00,3.851000e-01
18,Train,1.684377e+00,3.919000e-01
18,Test,1.683381e+00,3.874000e-01
19,Train,1.672842e+00,3.972000e-01
19,Test,1.673501e+00,3.923000e-01
20,Train,1.665645e+00,3.984000e-01
20,Test,1.666442e+00,3.927000e-01
21,Train,1.655147e+00,4.023200e-01
21,Test,1.662248e+00,3.975000e-01
22,Train,1.644210e+00,4.074800e-01
22,Test,1.646368e+00,4.013000e-01
23,Train,1.639057e+00,4.073200e-01
23,Test,1.638972e+00,4.032000e-01
24,Train,1.627543e+00,4.108200e-01
24,Test,1.635561e+00,4.016000e-01
25,Train,1.620270e+00,4.146600e-01
25,Test,1.622557e+00,4.116000e-01
26,Train,1.615436e+00,4.166400e-01
26,Test,1.633741e+00,3.995000e-01
27,Train,1.604488e+00,4.218600e-01
27,Test,1.612631e+00,4.123000e-01
28,Train,1.597062e+00,4.234600e-01
28,Test,1.600245e+00,4.165000e-01
29,Train,1.591974e+00,4.252400e-01
29,Test,1.594976e+00,4.180000e-01
30,Train,1.579728e+00,4.301400e-01
30,Test,1.586602e+00,4.230000e-01
31,Train,1.579507e+00,4.294800e-01
31,Test,1.581043e+00,4.271000e-01
32,Train,1.572440e+00,4.324000e-01
32,Test,1.596222e+00,4.228000e-01
33,Train,1.567978e+00,4.340200e-01
33,Test,1.575915e+00,4.280000e-01
34,Train,1.558183e+00,4.378600e-01
34,Test,1.568094e+00,4.339000e-01
35,Train,1.551836e+00,4.396400e-01
35,Test,1.568892e+00,4.260000e-01
36,Train,1.550744e+00,4.406200e-01
36,Test,1.561643e+00,4.303000e-01
37,Train,1.539355e+00,4.447800e-01
37,Test,1.559232e+00,4.344000e-01
38,Train,1.537722e+00,4.447400e-01
38,Test,1.552184e+00,4.350000e-01
39,Train,1.534646e+00,4.468000e-01
39,Test,1.539691e+00,4.443000e-01
40,Train,1.526409e+00,4.485000e-01
40,Test,1.542301e+00,4.447000e-01
41,Train,1.522415e+00,4.509000e-01
41,Test,1.535337e+00,4.448000e-01
42,Train,1.517121e+00,4.537400e-01
42,Test,1.541089e+00,4.468000e-01
43,Train,1.512510e+00,4.528000e-01
43,Test,1.528248e+00,4.438000e-01
44,Train,1.508779e+00,4.550600e-01
44,Test,1.528914e+00,4.466000e-01
45,Train,1.503497e+00,4.573200e-01
45,Test,1.531955e+00,4.448000e-01
46,Train,1.499317e+00,4.579200e-01
46,Test,1.513110e+00,4.522000e-01
47,Train,1.497983e+00,4.600000e-01
47,Test,1.515209e+00,4.513000e-01
48,Train,1.494191e+00,4.636800e-01
48,Test,1.504845e+00,4.580000e-01
49,Train,1.485238e+00,4.642000e-01
49,Test,1.515075e+00,4.493000e-01
50,Train,1.483465e+00,4.641600e-01
50,Test,1.505192e+00,4.512000e-01
