epoch,mode,loss,accuracy
1,Train,2.201711e+00,1.892600e-01
1,Test,1.976918e+00,3.166000e-01
2,Train,1.937229e+00,3.073600e-01
2,Test,1.761022e+00,3.922000e-01
3,Train,1.816755e+00,3.536600e-01
3,Test,1.682784e+00,4.147000e-01
4,Train,1.749206e+00,3.821800e-01
4,Test,1.609576e+00,4.347000e-01
5,Train,1.684074e+00,4.007400e-01
5,Test,1.551995e+00,4.517000e-01
6,Train,1.634915e+00,4.162800e-01
6,Test,1.517224e+00,4.553000e-01
7,Train,1.597885e+00,4.247800e-01
7,Test,1.476589e+00,4.732000e-01
8,Train,1.566286e+00,4.361400e-01
8,Test,1.449406e+00,4.798000e-01
9,Train,1.546412e+00,4.438600e-01
9,Test,1.426527e+00,4.787000e-01
10,Train,1.523904e+00,4.505800e-01
10,Test,1.405854e+00,4.895000e-01
11,Train,1.509854e+00,4.562600e-01
11,Test,1.388552e+00,4.951000e-01
12,Train,1.497602e+00,4.625600e-01
12,Test,1.386778e+00,4.971000e-01
13,Train,1.476851e+00,4.676000e-01
13,Test,1.369705e+00,5.022000e-01
14,Train,1.471139e+00,4.690200e-01
14,Test,1.360241e+00,5.095000e-01
15,Train,1.468041e+00,4.716400e-01
15,Test,1.348474e+00,5.101000e-01
16,Train,1.443036e+00,4.834000e-01
16,Test,1.342644e+00,5.174000e-01
17,Train,1.439376e+00,4.824400e-01
17,Test,1.327457e+00,5.160000e-01
18,Train,1.424733e+00,4.865200e-01
18,Test,1.323566e+00,5.242000e-01
19,Train,1.415049e+00,4.922200e-01
19,Test,1.304800e+00,5.287000e-01
20,Train,1.407960e+00,4.914000e-01
20,Test,1.317437e+00,5.238000e-01
21,Train,1.405175e+00,4.959600e-01
21,Test,1.294485e+00,5.340000e-01
22,Train,1.391198e+00,4.979400e-01
22,Test,1.285118e+00,5.394000e-01
23,Train,1.386627e+00,5.004200e-01
23,Test,1.271901e+00,5.394000e-01
24,Train,1.379369e+00,5.035000e-01
24,Test,1.268061e+00,5.384000e-01
