epoch,mode,loss,accuracy
1,Train,2.273272e+00,1.598800e-01
1,Test,2.170889e+00,2.162000e-01
2,Train,2.126593e+00,2.243600e-01
2,Test,2.063796e+00,2.706000e-01
3,Train,2.054031e+00,2.638800e-01
3,Test,1.987486e+00,3.067000e-01
4,Train,1.980778e+00,3.011400e-01
4,Test,1.904353e+00,3.406000e-01
5,Train,1.908562e+00,3.208400e-01
5,Test,1.783340e+00,3.723000e-01
6,Train,1.816631e+00,3.447000e-01
6,Test,1.720961e+00,3.883000e-01
7,Train,1.760393e+00,3.614600e-01
7,Test,1.675462e+00,4.041000e-01
8,Train,1.729976e+00,3.738200e-01
8,Test,1.640492e+00,4.088000e-01
9,Train,1.696346e+00,3.869200e-01
9,Test,1.611626e+00,4.257000e-01
10,Train,1.673217e+00,3.945200e-01
10,Test,1.587580e+00,4.304000e-01
11,Train,1.644510e+00,4.043400e-01
11,Test,1.564235e+00,4.358000e-01
12,Train,1.626397e+00,4.097800e-01
12,Test,1.558637e+00,4.361000e-01
13,Train,1.609853e+00,4.137200e-01
13,Test,1.538009e+00,4.431000e-01
14,Train,1.597940e+00,4.204800e-01
14,Test,1.515668e+00,4.472000e-01
15,Train,1.580366e+00,4.292400e-01
15,Test,1.503108e+00,4.561000e-01
16,Train,1.571177e+00,4.317000e-01
16,Test,1.492341e+00,4.559000e-01
17,Train,1.564042e+00,4.379400e-01
17,Test,1.496351e+00,4.579000e-01
18,Train,1.550429e+00,4.385000e-01
18,Test,1.474487e+00,4.592000e-01
19,Train,1.540372e+00,4.454000e-01
19,Test,1.463194e+00,4.656000e-01
20,Train,1.531805e+00,4.485800e-01
20,Test,1.455103e+00,4.677000e-01
21,Train,1.524085e+00,4.508200e-01
21,Test,1.451707e+00,4.653000e-01
22,Train,1.515139e+00,4.539800e-01
22,Test,1.437387e+00,4.733000e-01
23,Train,1.506958e+00,4.586600e-01
23,Test,1.430556e+00,4.770000e-01
24,Train,1.497209e+00,4.620800e-01
24,Test,1.425244e+00,4.796000e-01
25,Train,1.494733e+00,4.622400e-01
25,Test,1.416907e+00,4.806000e-01
26,Train,1.486919e+00,4.664400e-01
26,Test,1.412811e+00,4.872000e-01
27,Train,1.475385e+00,4.717400e-01
27,Test,1.396067e+00,4.942000e-01
28,Train,1.470746e+00,4.735800e-01
28,Test,1.398391e+00,4.916000e-01
29,Train,1.461199e+00,4.768600e-01
29,Test,1.383861e+00,4.943000e-01
30,Train,1.456588e+00,4.777200e-01
30,Test,1.377265e+00,4.988000e-01
31,Train,1.450927e+00,4.784400e-01
31,Test,1.376227e+00,5.029000e-01
32,Train,1.448860e+00,4.800000e-01
32,Test,1.372506e+00,5.023000e-01
33,Train,1.439184e+00,4.836800e-01
33,Test,1.359061e+00,5.074000e-01
34,Train,1.435158e+00,4.856600e-01
34,Test,1.355665e+00,5.087000e-01
35,Train,1.428896e+00,4.877000e-01
35,Test,1.351507e+00,5.115000e-01
36,Train,1.421448e+00,4.910000e-01
36,Test,1.340135e+00,5.152000e-01
37,Train,1.416213e+00,4.916400e-01
37,Test,1.337849e+00,5.158000e-01
38,Train,1.411970e+00,4.967000e-01
38,Test,1.347108e+00,5.129000e-01
39,Train,1.412665e+00,4.969400e-01
39,Test,1.339705e+00,5.153000e-01
40,Train,1.404244e+00,4.993200e-01
40,Test,1.323479e+00,5.207000e-01
41,Train,1.393973e+00,5.026600e-01
41,Test,1.321748e+00,5.240000e-01
42,Train,1.389038e+00,5.050200e-01
42,Test,1.306409e+00,5.257000e-01
43,Train,1.384011e+00,5.051000e-01
43,Test,1.303811e+00,5.278000e-01
44,Train,1.385102e+00,5.061400e-01
44,Test,1.313557e+00,5.284000e-01
45,Train,1.380181e+00,5.089600e-01
45,Test,1.291502e+00,5.318000e-01
46,Train,1.374728e+00,5.099000e-01
46,Test,1.292936e+00,5.309000e-01
47,Train,1.365303e+00,5.136000e-01
47,Test,1.292348e+00,5.338000e-01
48,Train,1.366093e+00,5.137200e-01
48,Test,1.281582e+00,5.364000e-01
49,Train,1.359418e+00,5.160800e-01
49,Test,1.282426e+00,5.346000e-01
50,Train,1.358318e+00,5.148400e-01
50,Test,1.276592e+00,5.398000e-01
